libssh2_agent_connect	connect to an ssh-agent
libssh2_knownhost_readfile	parse a file of known hosts
libssh2_knownhost_readline	read a known host line
libssh2_knownhost_writefile	write a collection of known hosts to a file
libssh2_knownhost_writeline	convert a known host to a line for storage
libssh2_poll	poll for activity on a socket, channel or listener
libssh2_poll_channel_read	check if data is available
libssh2_publickey_add	convenience macro for libssh2_publickey_add_ex(3) calls
libssh2_publickey_add_ex	Add a public key entry
libssh2_publickey_init	TODO
libssh2_publickey_list_fetch	TODO
libssh2_publickey_list_free	TODO
libssh2_publickey_remove	convenience macro for libssh2_publickey_remove_ex(3) calls
libssh2_publickey_remove_ex	TODO
libssh2_publickey_shutdown	TODO
libssh2_scp_recv	request a remote file via SCP
libssh2_scp_recv2	request a remote file via SCP
libssh2_scp_send	convenience macro for libssh2_scp_send_ex(3) calls
libssh2_scp_send64	Send a file via SCP
libssh2_scp_send_ex	Send a file via SCP
libssh2_session_abstract	return a pointer to a session's abstract pointer
libssh2_session_banner_get	get the remote banner
libssh2_session_banner_set	set the SSH protocol banner for the local client
libssh2_session_block_directions	get directions to wait for
libssh2_session_callback_set	set a callback function
libssh2_session_disconnect	convenience macro for libssh2_session_disconnect_ex(3) calls
libssh2_session_disconnect_ex	terminate transport layer
libssh2_session_flag	TODO
libssh2_session_free	frees resources associated with a session instance
libssh2_session_get_blocking	TODO
libssh2_session_get_timeout	get the timeout for blocking functions
libssh2_session_handshake	perform the SSH handshake
libssh2_session_hostkey	get the remote key
libssh2_session_init	convenience macro for libssh2_session_init_ex(3) calls
libssh2_session_init_ex	initializes an SSH session object
libssh2_session_last_errno	get the most recent error number
libssh2_session_last_error	get the most recent error
libssh2_session_method_pref	set preferred key exchange method
libssh2_session_methods	return the currently active algorithms
libssh2_session_set_blocking	set or clear blocking mode on session
libssh2_session_set_last_error	sets the internal error state
libssh2_session_set_timeout	set timeout for blocking functions
libssh2_session_startup	begin transport layer
libssh2_session_supported_algs	get list of supported algorithms
libssh2_sftp_close	convenience macro for libssh2_sftp_close_handle(3) calls
libssh2_sftp_close_handle	close filehandle
libssh2_sftp_closedir	convenience macro for libssh2_sftp_close_handle(3) calls
libssh2_sftp_fsetstat	convenience macro for libssh2_sftp_fstat_ex(3) calls
libssh2_sftp_fstat	convenience macro for libssh2_sftp_fstat_ex(3) calls
libssh2_sftp_fstat_ex	get or set attributes on an SFTP file handle
libssh2_sftp_fstatvfs, libssh2_sftp_statvfs	get file system statistics
libssh2_sftp_fsync	synchronize file to disk
libssh2_sftp_get_channel	return the channel of sftp
libssh2_sftp_init	open SFTP channel for the given SSH session.
libssh2_sftp_last_error	return the last SFTP-specific error code
libssh2_sftp_lstat	convenience macro for libssh2_sftp_stat_ex(3) calls
libssh2_sftp_mkdir	convenience macro for libssh2_sftp_mkdir_ex(3) calls
libssh2_sftp_mkdir_ex	create a directory on the remote file system
libssh2_sftp_open	convenience macro for libssh2_sftp_open_ex(3) calls
libssh2_sftp_open_ex	open filehandle for file on SFTP.
libssh2_sftp_opendir	convenience macro for libssh2_sftp_open_ex(3) calls
libssh2_sftp_read	read data from an SFTP handle
libssh2_sftp_readdir	convenience macro for libssh2_sftp_readdir_ex(3) calls
libssh2_sftp_readdir_ex	read directory data from an SFTP handle
libssh2_sftp_readlink	convenience macro for libssh2_sftp_symlink_ex(3)
libssh2_sftp_realpath	convenience macro for libssh2_sftp_symlink_ex(3)
libssh2_sftp_rename	convenience macro for libssh2_sftp_rename_ex(3) calls
libssh2_sftp_rename_ex	rename an SFTP file
libssh2_sftp_rewind	convenience macro for libssh2_sftp_seek64(3) calls
libssh2_sftp_rmdir	convenience macro for libssh2_sftp_rmdir_ex(3)
libssh2_sftp_rmdir_ex	remove an SFTP directory
libssh2_sftp_seek	set the read/write position indicator within a file
libssh2_sftp_seek64	set the read/write position within a file
libssh2_sftp_setstat	convenience macro for libssh2_sftp_stat_ex(3) calls
libssh2_sftp_shutdown	shut down an SFTP session
libssh2_sftp_stat	convenience macro for libssh2_sftp_fstat_ex(3) calls
libssh2_sftp_stat_ex	get status about an SFTP file
libssh2_sftp_symlink	convenience macro for libssh2_sftp_symlink_ex(3)
libssh2_sftp_symlink_ex	read or set a symbolic link
libssh2_sftp_tell	get the current read/write position indicator for a file
libssh2_sftp_tell64	get the current read/write position indicator for a file
libssh2_sftp_unlink	convenience macro for libssh2_sftp_unlink_ex(3) calls
libssh2_sftp_unlink_ex	unlink an SFTP file
libssh2_sftp_write	write SFTP data
libssh2_trace	enable debug info from inside libssh2
libssh2_trace_sethandler	set a trace output handler
libssh2_userauth_authenticated	return authentication status
libssh2_userauth_hostbased_fromfile	convenience macro for libssh2_userauth_hostbased_fromfile_ex(3) calls
libssh2_userauth_hostbased_fromfile_ex	TODO
libssh2_userauth_keyboard_interactive	convenience macro for libssh2_userauth_keyboard_interactive_ex(3) calls
libssh2_userauth_keyboard_interactive_ex	authenticate a session using keyboard-interactive authentication
libssh2_userauth_list	list supported authentication methods
libssh2_userauth_password	convenience macro for libssh2_userauth_password_ex(3) calls
libssh2_userauth_password_ex	authenticate a session with username and password
libssh2_userauth_publickey	authenticate using a callback function
libssh2_userauth_publickey_fromfile	convenience macro for libssh2_userauth_publickey_fromfile_ex(3) calls
libssh2_userauth_publickey_fromfile_ex	authenticate a session with a public key, read from a file
libssh2_userauth_publickey_frommemory	authenticate a session with a public key, read from memory
libssh2_version	return the libssh2 version number
